ÁöÁ¡¸í,ÀÏ½Ã,±â¿Â(¡ÆC),Ç³¼Ó(m/s),Ç³Çâ(16¹æÀ§),½Àµµ(%),Áõ±â¾Ð(hPa),ÀÌ½½Á¡¿Âµµ(¡ÆC),ÇöÁö±â¾Ð(hPa),ÇØ¸é±â¾Ð(hPa),Àü¿î·®(10ºÐÀ§),ÁßÇÏÃþ¿î·®(10ºÐÀ§),½ÃÁ¤(10m),Áö¸é¿Âµµ(¡ÆC)
¼­±ÍÆ÷,2024-02-23 00:00,9.0,3.3,50.0,81.0,9.3,5.9,1017.0,1023.4,10.0,4.0,5000.0,8.4
¼­±ÍÆ÷,2024-02-23 01:00,9.0,3.2,50.0,79.0,9.0,5.5,1017.2,1023.6,10.0,10.0,4634.0,8.2
¼­±ÍÆ÷,2024-02-23 02:00,9.0,3.4,50.0,77.0,8.8,5.1,1017.2,1023.6,10.0,6.0,5000.0,8.1
¼­±ÍÆ÷,2024-02-23 03:00,8.8,2.9,50.0,76.0,8.5,4.7,1017.4,1023.8,10.0,5.0,5000.0,8.0
¼­±ÍÆ÷,2024-02-23 04:00,8.7,3.3,50.0,74.0,8.3,4.3,1016.8,1023.2,10.0,5.0,5000.0,7.8
¼­±ÍÆ÷,2024-02-23 05:00,8.6,3.2,50.0,74.0,8.2,4.2,1017.3,1023.7,10.0,8.0,5000.0,7.7
¼­±ÍÆ÷,2024-02-23 06:00,8.3,3.1,50.0,77.0,8.4,4.4,1016.9,1023.3,10.0,6.0,5000.0,7.6
¼­±ÍÆ÷,2024-02-23 07:00,8.4,4.9,70.0,76.0,8.4,4.4,1018.1,1024.5,10.0,8.0,4803.0,7.4
¼­±ÍÆ÷,2024-02-23 08:00,7.6,3.9,70.0,83.0,8.6,4.8,1019.2,1025.6,10.0,8.0,1772.0,7.4
¼­±ÍÆ÷,2024-02-23 09:00,7.7,4.4,70.0,80.0,8.4,4.4,1019.7,1026.1,10.0,8.0,4792.0,7.7
¼­±ÍÆ÷,2024-02-23 10:00,7.8,5.1,70.0,78.0,8.2,4.1,1019.3,1025.7,10.0,8.0,4916.0,8.5
¼­±ÍÆ÷,2024-02-23 11:00,7.9,4.6,70.0,80.0,8.5,4.6,1019.9,1026.3,10.0,8.0,3581.0,8.8
¼­±ÍÆ÷,2024-02-23 12:00,9.1,3.7,50.0,75.0,8.6,4.8,1019.5,1025.9,10.0,8.0,5000.0,12.7
¼­±ÍÆ÷,2024-02-23 13:00,8.4,3.3,50.0,77.0,8.4,4.5,1019.6,1026.0,10.0,6.0,5000.0,9.8
¼­±ÍÆ÷,2024-02-23 14:00,8.1,2.7,50.0,80.0,8.6,4.8,1019.4,1025.8,10.0,5.0,5000.0,9.4
¼­±ÍÆ÷,2024-02-23 15:00,8.6,2.7,50.0,77.0,8.5,4.7,1019.5,1025.9,10.0,8.0,5000.0,9.4
¼­±ÍÆ÷,2024-02-23 16:00,8.5,2.7,50.0,78.0,8.6,4.8,1019.6,1026.0,10.0,7.0,5000.0,9.4
¼­±ÍÆ÷,2024-02-23 17:00,8.3,2.5,50.0,79.0,8.6,4.8,1019.7,1026.1,10.0,7.0,5000.0,8.9
¼­±ÍÆ÷,2024-02-23 18:00,8.1,2.8,50.0,80.0,8.6,4.8,1019.9,1026.3,10.0,7.0,5000.0,8.2
¼­±ÍÆ÷,2024-02-23 19:00,8.2,2.5,50.0,80.0,8.7,4.9,1021.1,1027.5,10.0,8.0,4615.0,7.8
¼­±ÍÆ÷,2024-02-23 20:00,7.9,2.8,50.0,83.0,8.8,5.1,1020.9,1027.3,10.0,7.0,4469.0,7.5
¼­±ÍÆ÷,2024-02-23 21:00,8.0,3.1,50.0,81.0,8.7,4.9,1021.3,1027.7,10.0,5.0,5000.0,7.5
¼­±ÍÆ÷,2024-02-23 22:00,7.8,3.3,50.0,84.0,8.8,5.2,1021.0,1027.4,10.0,1.0,2852.0,7.3
¼­±ÍÆ÷,2024-02-23 23:00,7.6,3.3,50.0,83.0,8.6,4.8,1020.5,1026.9,10.0,9.0,2444.0,7.2
¼­±ÍÆ÷,2024-02-24 00:00,7.4,3.8,50.0,85.0,8.7,5.0,1020.0,1026.4,10.0,7.0,2224.0,7.1
¼­±ÍÆ÷,2024-02-24 01:00,7.3,3.4,50.0,86.0,8.8,5.1,1020.8,1027.2,10.0,9.0,1166.0,7.0
¼­±ÍÆ÷,2024-02-24 02:00,7.1,2.9,50.0,89.0,9.0,5.4,1020.9,1027.3,10.0,8.0,591.0,7.0
¼­±ÍÆ÷,2024-02-24 03:00,7.1,3.9,50.0,88.0,8.8,5.2,1020.6,1027.0,10.0,8.0,2038.0,6.8
¼­±ÍÆ÷,2024-02-24 04:00,7.0,3.4,50.0,87.0,8.7,4.9,1020.4,1026.8,10.0,10.0,1495.0,6.8
¼­±ÍÆ÷,2024-02-24 05:00,6.9,3.5,50.0,86.0,8.5,4.7,1020.8,1027.2,10.0,8.0,2378.0,6.7
¼­±ÍÆ÷,2024-02-24 06:00,6.8,3.9,50.0,87.0,8.5,4.7,1020.7,1027.1,10.0,7.0,1881.0,6.7
¼­±ÍÆ÷,2024-02-24 07:00,6.6,3.7,50.0,87.0,8.4,4.5,1020.4,1026.8,10.0,6.0,3259.0,6.4
¼­±ÍÆ÷,2024-02-24 08:00,6.7,4.0,50.0,87.0,8.5,4.6,1020.5,1026.9,10.0,6.0,2007.0,6.8
¼­±ÍÆ÷,2024-02-24 09:00,6.9,4.3,70.0,88.0,8.7,5.0,1021.1,1027.5,10.0,8.0,1895.0,7.5
¼­±ÍÆ÷,2024-02-24 10:00,7.6,3.9,50.0,84.0,8.7,5.0,1020.4,1026.8,10.0,6.0,5000.0,9.5
¼­±ÍÆ÷,2024-02-24 11:00,8.4,4.1,50.0,76.0,8.4,4.4,1019.8,1026.2,10.0,9.0,5000.0,10.0
¼­±ÍÆ÷,2024-02-24 12:00,8.2,3.4,50.0,79.0,8.5,4.7,1019.4,1025.8,10.0,9.0,3389.0,9.4
¼­±ÍÆ÷,2024-02-24 13:00,8.4,3.3,50.0,78.0,8.5,4.7,1018.8,1025.2,10.0,9.0,3223.0,9.3
¼­±ÍÆ÷,2024-02-24 14:00,8.6,3.4,50.0,75.0,8.4,4.4,1017.5,1023.9,10.0,9.0,4735.0,9.0
¼­±ÍÆ÷,2024-02-24 15:00,8.2,3.0,50.0,79.0,8.5,4.7,1017.6,1024.0,10.0,9.0,1905.0,8.2
¼­±ÍÆ÷,2024-02-24 16:00,7.7,2.9,50.0,85.0,8.9,5.3,1016.9,1023.3,10.0,6.0,1261.0,7.9
¼­±ÍÆ÷,2024-02-24 17:00,7.7,2.9,50.0,84.0,8.8,5.1,1016.6,1023.0,10.0,4.0,2029.0,7.6
¼­±ÍÆ÷,2024-02-24 18:00,7.7,3.1,50.0,87.0,9.1,5.6,1016.6,1023.0,10.0,7.0,2910.0,7.6
¼­±ÍÆ÷,2024-02-24 19:00,8.0,2.8,50.0,86.0,9.2,5.7,1016.4,1022.8,10.0,6.0,3776.0,7.7
¼­±ÍÆ÷,2024-02-24 20:00,8.2,3.2,50.0,83.0,9.0,5.4,1015.8,1022.2,10.0,10.0,3500.0,7.6
¼­±ÍÆ÷,2024-02-24 21:00,8.0,3.5,50.0,86.0,9.2,5.7,1015.5,1021.9,10.0,10.0,1198.0,7.6
¼­±ÍÆ÷,2024-02-24 22:00,8.1,2.8,50.0,86.0,9.2,5.8,1015.5,1021.9,10.0,10.0,4757.0,7.7
¼­±ÍÆ÷,2024-02-24 23:00,8.1,2.5,20.0,85.0,9.2,5.7,1014.9,1021.3,10.0,10.0,4941.0,7.7
¼­±ÍÆ÷,2024-02-25 00:00,7.7,2.8,50.0,91.0,9.5,6.3,1014.6,1021.0,10.0,9.0,605.0,7.6
¼­±ÍÆ÷,2024-02-25 01:00,7.8,2.6,50.0,89.0,9.3,6.0,1014.0,1020.4,10.0,9.0,1991.0,7.6
¼­±ÍÆ÷,2024-02-25 02:00,8.0,2.9,50.0,87.0,9.3,5.9,1013.3,1019.7,10.0,9.0,5000.0,7.6
¼­±ÍÆ÷,2024-02-25 03:00,8.3,3.1,50.0,85.0,9.3,5.9,1012.7,1019.0,10.0,9.0,5000.0,7.7
¼­±ÍÆ÷,2024-02-25 04:00,8.5,3.3,50.0,84.0,9.3,5.9,1012.0,1018.3,10.0,9.0,4718.0,7.8
¼­±ÍÆ÷,2024-02-25 05:00,8.5,3.4,50.0,77.0,8.5,4.6,1011.4,1017.7,10.0,4.0,5000.0,7.5
¼­±ÍÆ÷,2024-02-25 06:00,8.7,3.4,50.0,74.0,8.3,4.3,1011.7,1018.0,10.0,8.0,5000.0,7.5
¼­±ÍÆ÷,2024-02-25 07:00,8.9,2.6,50.0,71.0,8.1,3.9,1012.1,1018.4,10.0,7.0,5000.0,7.5
¼­±ÍÆ÷,2024-02-25 08:00,9.0,2.9,360.0,69.0,7.9,3.6,1012.6,1018.9,10.0,9.0,5000.0,7.6
¼­±ÍÆ÷,2024-02-25 09:00,9.8,1.0,20.0,69.0,8.3,4.3,1012.9,1019.2,9.0,6.0,5000.0,10.0
¼­±ÍÆ÷,2024-02-25 10:00,10.5,0.7,250.0,72.0,9.1,5.6,1012.9,1019.2,10.0,3.0,5000.0,13.0
¼­±ÍÆ÷,2024-02-25 11:00,11.5,1.9,180.0,69.0,9.3,6.0,1013.5,1019.8,10.0,6.0,5000.0,15.3
¼­±ÍÆ÷,2024-02-25 12:00,11.9,1.5,180.0,64.0,8.8,5.2,1013.3,1019.6,10.0,3.0,5000.0,18.8
¼­±ÍÆ÷,2024-02-25 13:00,11.9,1.4,250.0,64.0,8.8,5.2,1013.1,1019.4,10.0,5.0,5000.0,17.8
¼­±ÍÆ÷,2024-02-25 14:00,10.9,2.5,230.0,69.0,9.0,5.4,1013.1,1019.4,10.0,8.0,5000.0,13.8
¼­±ÍÆ÷,2024-02-25 15:00,11.4,1.4,200.0,68.0,9.1,5.6,1013.3,1019.6,10.0,6.0,5000.0,15.4
¼­±ÍÆ÷,2024-02-25 16:00,10.8,1.1,70.0,70.0,9.0,5.5,1013.7,1020.0,10.0,4.0,5000.0,13.7
¼­±ÍÆ÷,2024-02-25 17:00,10.6,0.5,140.0,68.0,8.7,4.9,1013.6,1019.9,8.0,6.0,5000.0,12.3
¼­±ÍÆ÷,2024-02-25 18:00,10.6,1.0,230.0,69.0,8.8,5.1,1014.2,1020.5,6.0,6.0,5000.0,11.1
¼­±ÍÆ÷,2024-02-25 19:00,10.1,1.1,250.0,71.0,8.7,5.0,1015.2,1021.5,6.0,6.0,5000.0,10.2
¼­±ÍÆ÷,2024-02-25 20:00,10.2,1.1,230.0,70.0,8.7,4.9,1015.9,1022.2,9.0,9.0,5000.0,9.8
¼­±ÍÆ÷,2024-02-25 21:00,9.8,1.3,360.0,71.0,8.5,4.7,1016.3,1022.6,7.0,7.0,5000.0,9.1
¼­±ÍÆ÷,2024-02-25 22:00,9.6,0.7,20.0,74.0,8.8,5.1,1016.6,1022.9,6.0,6.0,5000.0,9.0
¼­±ÍÆ÷,2024-02-25 23:00,8.9,1.0,20.0,72.0,8.2,4.1,1016.9,1023.3,6.0,6.0,5000.0,8.1
¼­±ÍÆ÷,2024-02-26 00:00,7.8,1.1,360.0,76.0,8.0,3.8,1016.9,1023.3,4.0,4.0,4999.0,6.6
¼­±ÍÆ÷,2024-02-26 01:00,7.8,0.7,20.0,81.0,8.5,4.7,1017.1,1023.5,7.0,6.0,5000.0,7.2
¼­±ÍÆ÷,2024-02-26 02:00,8.2,0.3,0.0,73.0,7.9,3.6,1017.5,1023.9,6.0,6.0,5000.0,7.6
¼­±ÍÆ÷,2024-02-26 03:00,8.1,0.7,360.0,75.0,8.1,3.9,1017.5,1023.9,7.0,7.0,5000.0,7.5
¼­±ÍÆ÷,2024-02-26 04:00,7.4,1.0,360.0,81.0,8.3,4.3,1017.7,1024.1,6.0,6.0,5000.0,6.4
¼­±ÍÆ÷,2024-02-26 05:00,7.2,1.2,360.0,77.0,7.8,3.4,1017.4,1023.8,7.0,7.0,5000.0,5.9
¼­±ÍÆ÷,2024-02-26 06:00,6.1,1.3,360.0,81.0,7.6,3.0,1017.9,1024.3,8.0,8.0,5000.0,5.1
¼­±ÍÆ÷,2024-02-26 07:00,5.9,1.1,360.0,81.0,7.5,2.8,1018.3,1024.8,4.0,4.0,5000.0,4.9
¼­±ÍÆ÷,2024-02-26 08:00,6.7,0.4,0.0,78.0,7.6,3.1,1019.0,1025.4,8.0,6.0,5000.0,5.6
¼­±ÍÆ÷,2024-02-26 09:00,8.7,0.9,230.0,68.0,7.6,3.1,1019.2,1025.6,7.0,3.0,5000.0,10.0
¼­±ÍÆ÷,2024-02-26 10:00,10.7,1.9,200.0,64.0,8.2,4.1,1019.4,1025.7,7.0,4.0,5000.0,19.4
¼­±ÍÆ÷,2024-02-26 11:00,10.9,2.3,200.0,62.0,8.0,3.8,1019.6,1025.9,7.0,5.0,5000.0,23.0
¼­±ÍÆ÷,2024-02-26 12:00,10.7,2.8,230.0,60.0,7.7,3.2,1019.5,1025.8,9.0,9.0,5000.0,21.9
¼­±ÍÆ÷,2024-02-26 13:00,11.2,2.3,200.0,64.0,8.5,4.6,1018.7,1025.0,9.0,9.0,5000.0,22.9
¼­±ÍÆ÷,2024-02-26 14:00,10.2,2.4,230.0,65.0,8.1,3.9,1018.9,1025.3,9.0,9.0,5000.0,16.6
¼­±ÍÆ÷,2024-02-26 15:00,10.0,2.3,230.0,61.0,7.5,2.8,1018.8,1025.2,7.0,7.0,5000.0,14.8
¼­±ÍÆ÷,2024-02-26 16:00,11.6,2.5,230.0,58.0,7.9,3.6,1018.7,1025.0,7.0,7.0,5000.0,14.0
¼­±ÍÆ÷,2024-02-26 17:00,10.5,2.3,70.0,46.0,5.8,-0.6,1018.5,1024.8,3.0,3.0,4950.0,12.7
¼­±ÍÆ÷,2024-02-26 18:00,9.5,2.5,70.0,38.0,4.5,-4.1,1019.2,1025.6,7.0,4.0,5000.0,8.5
¼­±ÍÆ÷,2024-02-26 19:00,8.2,1.9,20.0,51.0,5.6,-1.3,1020.0,1026.4,7.0,2.0,5000.0,6.7
¼­±ÍÆ÷,2024-02-26 20:00,8.3,1.4,20.0,58.0,6.3,0.5,1020.2,1026.6,6.0,6.0,4977.0,6.3
¼­±ÍÆ÷,2024-02-26 21:00,8.0,1.4,20.0,61.0,6.5,0.9,1020.1,1026.5,4.0,0.0,4979.0,5.8
¼­±ÍÆ÷,2024-02-26 22:00,8.0,1.3,20.0,62.0,6.6,1.1,1020.0,1026.4,4.0,1.0,5000.0,5.5
¼­±ÍÆ÷,2024-02-26 23:00,8.3,2.5,20.0,65.0,7.1,2.0,1020.2,1026.6,4.0,1.0,5000.0,5.5
¼­±ÍÆ÷,2024-02-27 00:00,8.5,2.2,20.0,63.0,7.0,1.8,1020.5,1026.9,6.0,3.0,5000.0,5.5
¼­±ÍÆ÷,2024-02-27 01:00,8.3,2.4,20.0,66.0,7.2,2.3,1020.9,1027.3,4.0,0.0,5000.0,5.5
¼­±ÍÆ÷,2024-02-27 02:00,8.2,2.5,20.0,66.0,7.2,2.2,1020.9,1027.3,4.0,0.0,5000.0,5.4
¼­±ÍÆ÷,2024-02-27 03:00,8.2,2.2,20.0,66.0,7.2,2.2,1020.7,1027.1,8.0,8.0,5000.0,5.4
¼­±ÍÆ÷,2024-02-27 04:00,8.0,2.3,50.0,71.0,7.6,3.0,1020.8,1027.2,9.0,7.0,5000.0,5.5
¼­±ÍÆ÷,2024-02-27 05:00,7.6,2.5,20.0,77.0,8.0,3.8,1020.4,1026.8,8.0,4.0,3211.0,5.6
¼­±ÍÆ÷,2024-02-27 06:00,8.0,2.4,20.0,66.0,7.1,2.0,1020.4,1026.8,4.0,4.0,5000.0,5.2
¼­±ÍÆ÷,2024-02-27 07:00,7.9,2.3,50.0,68.0,7.2,2.3,1021.4,1027.8,9.0,6.0,4685.0,5.6
¼­±ÍÆ÷,2024-02-27 08:00,8.3,2.6,50.0,67.0,7.3,2.5,1021.6,1028.0,8.0,6.0,4625.0,6.9
¼­±ÍÆ÷,2024-02-27 09:00,8.4,1.8,20.0,79.0,8.7,4.9,1022.8,1029.2,8.0,5.0,4346.0,10.9
¼­±ÍÆ÷,2024-02-27 10:00,10.7,4.3,50.0,65.0,8.3,4.3,1021.8,1028.2,3.0,2.0,5000.0,17.4
¼­±ÍÆ÷,2024-02-27 11:00,10.2,5.5,70.0,63.0,7.8,3.4,1022.0,1028.4,4.0,4.0,5000.0,16.2
¼­±ÍÆ÷,2024-02-27 12:00,10.7,5.9,70.0,57.0,7.3,2.5,1022.3,1028.7,5.0,4.0,4841.0,17.6
¼­±ÍÆ÷,2024-02-27 13:00,11.8,3.3,70.0,50.0,6.9,1.6,1021.6,1027.9,7.0,6.0,5000.0,21.9
¼­±ÍÆ÷,2024-02-27 14:00,11.2,4.8,70.0,51.0,6.8,1.4,1021.3,1027.6,6.0,5.0,4969.0,18.0
¼­±ÍÆ÷,2024-02-27 15:00,10.9,5.1,70.0,51.0,6.6,1.1,1021.1,1027.4,8.0,8.0,5000.0,14.8
¼­±ÍÆ÷,2024-02-27 16:00,11.1,3.4,70.0,53.0,7.0,1.8,1021.0,1027.3,9.0,9.0,4882.0,12.4
¼­±ÍÆ÷,2024-02-27 17:00,10.3,4.5,70.0,55.0,6.9,1.6,1021.2,1027.6,5.0,5.0,4773.0,9.9
¼­±ÍÆ÷,2024-02-27 18:00,9.4,3.6,50.0,58.0,6.8,1.5,1021.1,1027.5,1.0,1.0,4576.0,8.2
¼­±ÍÆ÷,2024-02-27 19:00,8.5,2.5,50.0,63.0,7.0,1.8,1022.0,1028.4,4.0,0.0,4258.0,6.7
¼­±ÍÆ÷,2024-02-27 20:00,8.3,2.4,50.0,64.0,7.0,1.8,1022.1,1028.5,4.0,1.0,4274.0,6.1
¼­±ÍÆ÷,2024-02-27 21:00,8.2,3.0,50.0,65.0,7.1,2.0,1022.2,1028.6,1.0,1.0,4386.0,5.9
¼­±ÍÆ÷,2024-02-27 22:00,8.1,2.5,50.0,65.0,7.0,1.9,1022.2,1028.6,4.0,0.0,4501.0,5.6
¼­±ÍÆ÷,2024-02-27 23:00,8.1,2.4,50.0,64.0,6.9,1.6,1022.7,1029.1,5.0,0.0,4309.0,5.4
¼­±ÍÆ÷,2024-02-28 00:00,8.1,2.3,20.0,64.0,6.9,1.6,1023.1,1029.5,4.0,4.0,4524.0,5.3
¼­±ÍÆ÷,2024-02-28 01:00,8.5,2.1,20.0,64.0,7.1,2.0,1023.0,1029.4,9.0,4.0,4351.0,6.1
¼­±ÍÆ÷,2024-02-28 02:00,8.2,2.1,50.0,65.0,7.1,2.0,1022.6,1029.0,6.0,5.0,4509.0,5.4
¼­±ÍÆ÷,2024-02-28 03:00,8.2,2.5,50.0,64.0,6.9,1.7,1022.0,1028.4,1.0,1.0,4465.0,5.2
¼­±ÍÆ÷,2024-02-28 04:00,8.4,2.3,50.0,65.0,7.1,2.1,1021.7,1028.1,6.0,6.0,4721.0,5.9
¼­±ÍÆ÷,2024-02-28 05:00,8.3,1.7,20.0,66.0,7.2,2.3,1021.5,1027.9,8.0,8.0,4518.0,6.3
¼­±ÍÆ÷,2024-02-28 06:00,8.3,2.1,20.0,68.0,7.4,2.7,1021.4,1027.8,7.0,7.0,4542.0,6.2
¼­±ÍÆ÷,2024-02-28 07:00,8.1,1.9,20.0,69.0,7.4,2.7,1021.3,1027.7,7.0,2.0,4545.0,5.9
¼­±ÍÆ÷,2024-02-28 08:00,8.5,2.3,50.0,66.0,7.3,2.5,1021.4,1027.8,9.0,2.0,4742.0,6.8
¼­±ÍÆ÷,2024-02-28 09:00,9.7,2.2,50.0,62.0,7.4,2.7,1022.3,1028.7,10.0,7.0,4881.0,9.3
¼­±ÍÆ÷,2024-02-28 10:00,10.3,3.5,70.0,62.0,7.7,3.3,1022.3,1028.7,10.0,9.0,4940.0,10.4
¼­±ÍÆ÷,2024-02-28 11:00,10.6,3.5,50.0,60.0,7.6,3.1,1021.9,1028.3,10.0,7.0,4942.0,12.0
¼­±ÍÆ÷,2024-02-28 12:00,11.3,4.6,70.0,57.0,7.6,3.0,1020.9,1027.2,10.0,7.0,5000.0,13.5
¼­±ÍÆ÷,2024-02-28 13:00,11.5,6.2,70.0,56.0,7.6,3.0,1019.2,1025.5,10.0,1.0,5000.0,13.9
¼­±ÍÆ÷,2024-02-28 14:00,11.7,4.3,50.0,53.0,7.3,2.4,1019.7,1026.0,10.0,6.0,5000.0,13.5
¼­±ÍÆ÷,2024-02-28 15:00,11.2,3.5,70.0,54.0,7.2,2.2,1019.1,1025.4,10.0,2.0,5000.0,12.4
¼­±ÍÆ÷,2024-02-28 16:00,10.7,5.3,70.0,54.0,6.9,1.7,1019.0,1025.3,10.0,2.0,5000.0,10.0
¼­±ÍÆ÷,2024-02-28 17:00,10.9,4.1,70.0,54.0,7.0,1.9,1019.1,1025.4,10.0,1.0,5000.0,9.8
¼­±ÍÆ÷,2024-02-28 18:00,10.7,3.4,70.0,62.0,8.0,3.7,1019.2,1025.5,10.0,3.0,4935.0,9.0
¼­±ÍÆ÷,2024-02-28 19:00,10.4,2.0,50.0,63.0,7.9,3.6,1019.3,1025.7,10.0,10.0,4892.0,8.5
¼­±ÍÆ÷,2024-02-28 20:00,10.5,2.1,50.0,63.0,8.0,3.7,1019.3,1025.6,10.0,8.0,4944.0,8.4
¼­±ÍÆ÷,2024-02-28 21:00,10.5,2.7,70.0,67.0,8.5,4.6,1018.9,1025.2,10.0,8.0,4293.0,8.4
¼­±ÍÆ÷,2024-02-28 22:00,10.6,2.9,50.0,65.0,8.2,4.2,1018.4,1024.7,10.0,4.0,4998.0,8.4
¼­±ÍÆ÷,2024-02-28 23:00,9.9,2.6,50.0,74.0,9.0,5.4,1018.1,1024.5,10.0,8.0,2460.0,8.2
¼­±ÍÆ÷,2024-02-29 00:00,10.0,2.4,50.0,77.0,9.4,6.1,1017.9,1024.3,10.0,9.0,3946.0,8.5
¼­±ÍÆ÷,2024-02-29 01:00,9.7,2.5,50.0,80.0,9.6,6.4,1018.2,1024.5,10.0,9.0,1364.0,8.4
¼­±ÍÆ÷,2024-02-29 02:00,9.1,3.0,50.0,83.0,9.5,6.3,1017.7,1024.1,10.0,9.0,1660.0,8.4
¼­±ÍÆ÷,2024-02-29 03:00,9.1,2.9,50.0,83.0,9.5,6.3,1016.6,1022.9,10.0,9.0,3408.0,8.4
¼­±ÍÆ÷,2024-02-29 04:00,9.1,3.6,50.0,81.0,9.3,6.0,1015.7,1022.0,10.0,6.0,3157.0,8.2
¼­±ÍÆ÷,2024-02-29 05:00,8.8,3.1,50.0,87.0,9.8,6.7,1015.5,1021.8,10.0,9.0,707.0,8.2
¼­±ÍÆ÷,2024-02-29 06:00,8.6,3.7,50.0,87.0,9.7,6.5,1014.0,1020.3,10.0,9.0,780.0,8.1
¼­±ÍÆ÷,2024-02-29 07:00,8.4,3.9,50.0,86.0,9.4,6.1,1013.1,1019.4,10.0,8.0,866.0,7.9
¼­±ÍÆ÷,2024-02-29 08:00,8.3,4.0,50.0,86.0,9.3,6.0,1012.6,1018.9,10.0,8.0,541.0,7.9
¼­±ÍÆ÷,2024-02-29 09:00,8.7,5.2,70.0,84.0,9.4,6.1,1012.3,1018.6,10.0,2.0,872.0,8.6
¼­±ÍÆ÷,2024-02-29 10:00,9.2,3.7,50.0,83.0,9.6,6.4,1012.9,1019.2,10.0,4.0,746.0,8.8
¼­±ÍÆ÷,2024-02-29 11:00,9.1,4.4,50.0,76.0,8.7,5.0,1012.4,1018.7,10.0,2.0,4761.0,9.1
¼­±ÍÆ÷,2024-02-29 12:00,10.0,3.0,50.0,68.0,8.3,4.3,1010.9,1017.2,10.0,3.0,5000.0,10.9
¼­±ÍÆ÷,2024-02-29 13:00,10.1,1.7,50.0,71.0,8.7,5.0,1010.0,1016.3,10.0,5.0,5000.0,11.1
¼­±ÍÆ÷,2024-02-29 14:00,8.8,2.5,50.0,80.0,9.0,5.5,1009.8,1016.1,10.0,4.0,1438.0,10.8
¼­±ÍÆ÷,2024-02-29 15:00,8.4,1.0,50.0,85.0,9.3,6.0,1009.6,1015.9,10.0,9.0,2041.0,10.0
¼­±ÍÆ÷,2024-02-29 16:00,9.1,0.7,20.0,86.0,9.9,6.8,1009.8,1016.1,10.0,9.0,3162.0,10.1
¼­±ÍÆ÷,2024-02-29 17:00,9.7,0.6,20.0,82.0,9.8,6.7,1010.3,1016.6,10.0,8.0,3487.0,9.6
¼­±ÍÆ÷,2024-02-29 18:00,8.7,1.2,20.0,84.0,9.4,6.1,1010.9,1017.2,10.0,7.0,2216.0,9.0
¼­±ÍÆ÷,2024-02-29 19:00,8.8,1.1,50.0,92.0,10.4,7.5,1011.5,1017.8,10.0,9.0,575.0,9.1
¼­±ÍÆ÷,2024-02-29 20:00,8.1,1.0,20.0,84.0,9.0,5.5,1012.5,1018.9,10.0,7.0,2781.0,8.4
¼­±ÍÆ÷,2024-02-29 21:00,8.5,0.3,0.0,88.0,9.7,6.6,1012.7,1019.0,10.0,8.0,2915.0,8.7
¼­±ÍÆ÷,2024-02-29 22:00,8.7,0.5,290.0,91.0,10.2,7.3,1013.1,1019.4,10.0,6.0,4121.0,8.6
¼­±ÍÆ÷,2024-02-29 23:00,8.3,0.7,50.0,84.0,9.2,5.7,1013.3,1019.6,10.0,7.0,4812.0,8.5
¼­±ÍÆ÷,2024-03-01 00:00,8.5,2.4,270.0,83.0,9.2,5.7,1013.2,1019.5,10.0,3.0,4817.0,8.1
¼­±ÍÆ÷,2024-03-01 01:00,8.4,1.6,50.0,79.0,8.7,4.9,1013.4,1019.7,10.0,9.0,4671.0,7.7
¼­±ÍÆ÷,2024-03-01 02:00,8.6,0.9,290.0,67.0,7.5,2.8,1014.2,1020.5,10.0,8.0,2802.0,7.4
¼­±ÍÆ÷,2024-03-01 03:00,7.6,2.1,50.0,70.0,7.3,2.4,1013.8,1020.2,4.0,4.0,2040.0,6.1
¼­±ÍÆ÷,2024-03-01 04:00,6.7,0.9,320.0,70.0,6.9,1.6,1013.6,1020.0,0.0,0.0,2666.0,4.8
¼­±ÍÆ÷,2024-03-01 05:00,6.3,1.5,20.0,73.0,7.0,1.8,1013.5,1019.9,0.0,0.0,2307.0,4.4
¼­±ÍÆ÷,2024-03-01 06:00,5.4,0.7,340.0,76.0,6.8,1.5,1013.7,1020.1,0.0,0.0,2213.0,3.8
¼­±ÍÆ÷,2024-03-01 07:00,4.6,1.5,360.0,75.0,6.3,0.5,1014.2,1020.6,0.0,0.0,2318.0,3.4
¼­±ÍÆ÷,2024-03-01 08:00,5.4,1.3,20.0,64.0,5.8,-0.8,1014.4,1020.8,0.0,0.0,2739.0,4.0
¼­±ÍÆ÷,2024-03-01 09:00,7.6,2.3,180.0,59.0,6.1,0.0,1015.3,1021.7,2.0,0.0,3573.0,11.4
¼­±ÍÆ÷,2024-03-01 10:00,7.5,3.2,200.0,52.0,5.4,-1.7,1015.2,1021.6,7.0,0.0,4730.0,15.8
¼­±ÍÆ÷,2024-03-01 11:00,7.7,3.0,180.0,41.0,4.3,-4.7,1016.1,1022.5,8.0,0.0,4587.0,16.2
¼­±ÍÆ÷,2024-03-01 12:00,7.7,3.3,200.0,41.0,4.3,-4.7,1014.9,1021.3,9.0,0.0,5000.0,16.6
¼­±ÍÆ÷,2024-03-01 13:00,7.6,1.5,200.0,33.0,3.5,-7.6,1013.6,1020.0,9.0,3.0,4996.0,13.4
¼­±ÍÆ÷,2024-03-01 14:00,6.3,3.2,50.0,47.0,4.5,-4.2,1014.2,1020.6,9.0,2.0,4685.0,10.9
